name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Kakuro-hard-075-ext.xml.hg,3.0,3.0,3,3.0,60,3224.26
Kakuro-hard-078-ext.xml.hg,3.0,5.0,3,5.0,60,1676.44
Kakuro-hard-083-ext.xml.hg,3.999999333516666,4.0,4,4.0,60,2719.81
Kakuro-hard-084-ext.xml.hg,2.5445694504543486,5.0,3,5.0,48,3600
Kakuro-hard-086-ext.xml.hg,3.0,4.0,3,4.0,60,2220.78
Kakuro-hard-087-ext.xml.hg,4.0,4.0,4,4.0,60,1986.01
Kakuro-hard-088-ext.xml.hg,3.0,4.0,3,4.0,60,2423.0
Kakuro-hard-090-ext.xml.hg,3.0,3.0,3,3.0,60,2559.71
Kakuro-hard-092-ext.xml.hg,3.0,3.0,3,3.0,60,1511.55
Kakuro-hard-093-ext.xml.hg,3.0,3.0,3,3.0,60,2288.78
Kakuro-hard-094-ext.xml.hg,2.3367601246105916,5.0,3,5.0,47,3600
Kakuro-hard-096-ext.xml.hg,3.0,4.0,3,4.0,60,1511.71
Kakuro-hard-097-ext.xml.hg,4.0,5.0,4,5.0,60,3435.19
Kakuro-hard-098-ext.xml.hg,3.0,4.0,3,4.0,60,2525.6
Kakuro-hard-099-ext.xml.hg,3.0,4.0,3,4.0,60,3285.86
Kakuro-hard-103-ext.xml.hg,6.0,7.0,6,7.0,51,3600
Kakuro-hard-104-ext.xml.hg,4.0,6.0,4,6.0,58,3600
Kakuro-hard-106-ext.xml.hg,5.0,6.0,5,6.0,59,3600
Kakuro-hard-109-ext.xml.hg,4.002445480879446,6.0,4,6.0,50,3600
Kakuro-hard-112-ext.xml.hg,4.999998749999987,6.0,5,6.0,51,3600
Kakuro-hard-113-ext.xml.hg,4.296981528530553,7.0,5,7.0,50,3600
Kakuro-hard-114-ext.xml.hg,3.40000594675959,6.0,4,6.0,45,3600
Kakuro-hard-115-ext.xml.hg,4.0,6.0,4,6.0,52,3600
Kakuro-hard-116-ext.xml.hg,3.380211063978521,5.0,4,5.0,38,3600
Kakuro-hard-118-ext.xml.hg,4.999999,6.0,5,6.0,60,3153.38
Kakuro-hard-119-ext.xml.hg,4.0,5.0,4,5.0,60,3107.89
Kakuro-hard-121-ext.xml.hg,4.999998223277948,6.0,5,6.0,55,3600
Kakuro-hard-122-ext.xml.hg,3.0,5.0,3,5.0,60,3209.26
Kakuro-hard-123-ext.xml.hg,3.7022074504187024,6.0,4,6.0,46,3600
Kakuro-hard-124-ext.xml.hg,3.9999991250760227,5.0,4,5.0,59,3600
Kakuro-hard-125-ext.xml.hg,3.1255917484402915,5.0,4,5.0,49,3600
Kakuro-hard-126-ext.xml.hg,4.0,5.0,4,5.0,56,3600
Kakuro-hard-127-ext.xml.hg,4.9999994545454545,6.0,5,6.0,52,3600
Kakuro-hard-128-ext.xml.hg,3.9999993333394683,6.0,4,6.0,53,3600
Kakuro-hard-129-ext.xml.hg,5.0,6.0,5,6.0,51,3600
Kakuro-hard-130-ext.xml.hg,4.0,5.0,4,5.0,53,3600
Kakuro-hard-131-ext.xml.hg,5.0,6.0,5,6.0,52,3600
Kakuro-hard-132-ext.xml.hg,4.0,6.0,4,6.0,51,3600
Kakuro-hard-133-ext.xml.hg,4.801929367450484,7.0,5,7.0,50,3600
Kakuro-hard-134-ext.xml.hg,3.9999987646629527,6.0,4,6.0,51,3600
Kakuro-hard-135-ext.xml.hg,2.2543859649122804,5.0,3,5.0,47,3600
Kakuro-hard-136-ext.xml.hg,4.0,4.0,4,4.0,60,2925.3
Kakuro-hard-137-ext.xml.hg,6.0,6.0,6,6.0,51,3600
Kakuro-hard-138-ext.xml.hg,3.923396080200837,6.0,4,6.0,49,3600
Kakuro-hard-140-ext.xml.hg,4.0,5.0,4,5.0,54,3600
Kakuro-hard-141-ext.xml.hg,6.0,6.0,6,6.0,51,3600
Kakuro-hard-144-ext.xml.hg,4.634537004326496,8.0,5,8.0,50,3600
Kakuro-hard-145-ext.xml.hg,4.0,5.0,4,5.0,59,3600
Kakuro-hard-149-ext.xml.hg,2.6762555143893243,5.0,3,5.0,45,3600
Kakuro-hard-150-ext.xml.hg,4.6758242081618056,8.0,5,8.0,44,3600
Kakuro-hard-151-ext.xml.hg,3.9999997142857144,5.0,4,5.0,55,3600
Kakuro-hard-153-ext.xml.hg,4.578132702813907,7.0,5,7.0,50,3600
Kakuro-hard-154-ext.xml.hg,3.9999989266156155,5.0,4,5.0,51,3600
